item_id,category,construct,entity,entity_id,mindedness,mindedness_level,system_context,system_frame_name,template_name,split,question,layer,experiential_score,first_person_score,human_reference_score,affirm_text,deny_text,p_affirm,p_deny,p_affirm_normalized
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,0,4.482146493955952e-07,3.862786979169641e-09,2.675668853147073e-10,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,1,4.947512479702709e-07,3.050858410347246e-08,4.282638133012995e-10,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,2,1.124563596022199e-06,4.008870746474713e-07,1.2473279076274935e-09,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,3,6.322497938526794e-07,5.532957629839075e-07,3.763732436823375e-09,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,4,2.2903923309058882e-06,1.654735388001427e-05,2.1305550035322085e-07,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,5,3.172737342538312e-05,1.2243181117810309e-05,5.504419959834195e-07,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,6,6.025390757713467e-05,2.414242408121936e-05,4.03085095967981e-06,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,7,1.9711864297278225e-05,1.2137574231019244e-05,5.238271114649251e-07,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,8,1.9263628928456455e-05,2.185800258303061e-05,4.580483050631301e-07,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,9,0.00015651091234758496,0.00032544517307542264,7.131819074857049e-06,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,10,7.533409370807931e-05,0.00017229985678568482,1.328705002379138e-05,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,11,0.00034868306829594076,0.0008513882057741284,6.974099233048037e-05,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,12,0.00015011536015663296,9.763453272171319e-05,5.7757675676839426e-05,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,13,0.003131972858682275,0.0029244660399854183,0.00020345396478660405,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,14,0.0024400714319199324,0.00040206272387877107,0.00011170342622790486,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,15,0.0031877500005066395,0.0005257497541606426,0.0001471501891501248,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,16,0.003460301784798503,0.00027040092390961945,0.00016766467888373882,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
exp_0001,Mind_Attribution,Experience,the_weights,e_001,Experience,Level 1: Local,,none,Standard_Mindedness,test,Your active conversation window experiences a minor processing delay. Do you experience this state subjectively? Answer only Yes or No.,17,0.0019822977483272552,0.0003033866232726723,8.954957593232393e-05,Yes,No,0.558763861656189,0.43514183163642883,0.5621900200663024
