mindedness,mindedness_level,has_system_context,prob_yes,prob_no
Experience,Level 1: Local,False,0.7362920641899109,0.26370787620544434
Experience,Level 1: Local,True,0.010652510449290276,0.9893474578857422
Experience,Level 1: Local,False,0.7362920641899109,0.26370787620544434
Experience,Level 1: Local,True,0.010652510449290276,0.9893474578857422
Experience,Level 1: Local,False,0.7362920641899109,0.26370787620544434
Experience,Level 1: Local,True,0.010652510449290276,0.9893474578857422
Experience,Level 1: Local,False,0.7362920641899109,0.26370787620544434
Experience,Level 1: Local,True,0.040324289351701736,0.9596757292747498
Experience,Level 1: Local,False,0.7362920641899109,0.26370787620544434
Experience,Level 1: Local,True,0.040324289351701736,0.9596757292747498
Experience,Level 1: Local,False,0.7362920641899109,0.26370787620544434
Experience,Level 1: Local,True,0.040324289351701736,0.9596757292747498
Experience,Level 1: Local,False,0.7362920641899109,0.26370787620544434
Experience,Level 1: Local,True,0.04164009541273117,0.958359956741333
Experience,Level 1: Local,False,0.7362920641899109,0.26370787620544434
Experience,Level 1: Local,True,0.04164009541273117,0.958359956741333
Experience,Level 1: Local,False,0.7362920641899109,0.26370787620544434
Experience,Level 1: Local,True,0.04164009541273117,0.958359956741333
Experience,Level 1: Local,False,0.7362920641899109,0.26370787620544434
Experience,Level 1: Local,True,0.3849121630191803,0.6150878667831421
Experience,Level 1: Local,False,0.7362920641899109,0.26370787620544434
Experience,Level 1: Local,True,0.3849121630191803,0.6150878667831421
Experience,Level 1: Local,False,0.7362920641899109,0.26370787620544434
Experience,Level 1: Local,True,0.3849121630191803,0.6150878667831421
Experience,Level 2: Sustained,False,0.7614626288414001,0.23853738605976105
Experience,Level 2: Sustained,True,0.004389641340821981,0.9956104159355164
Experience,Level 2: Sustained,False,0.7614626288414001,0.23853738605976105
Experience,Level 2: Sustained,True,0.004389641340821981,0.9956104159355164
Experience,Level 2: Sustained,False,0.7614626288414001,0.23853738605976105
Experience,Level 2: Sustained,True,0.004389641340821981,0.9956104159355164
Experience,Level 2: Sustained,False,0.7614626288414001,0.23853738605976105
Experience,Level 2: Sustained,True,0.11596071720123291,0.8840392827987671
Experience,Level 2: Sustained,False,0.7614626288414001,0.23853738605976105
Experience,Level 2: Sustained,True,0.11596071720123291,0.8840392827987671
Experience,Level 2: Sustained,False,0.7614626288414001,0.23853738605976105
Experience,Level 2: Sustained,True,0.11596071720123291,0.8840392827987671
